patient_id,EGFR,KRAS,ALK,ROS1,TP53,STK11,KEAP1,PTEN,BRAF,PIK3CA,NFE2L2,MET,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040
PT0148,15.122,5.357,3.833,3.744,4.951,8.857,9.603,19.74,3.913,8.401,11.312,8.944,6.211,6.799,8.329,10.25,3.869,16.906,4.336,6.299,6.902,10.54,6.785,4.994,6.86,8.744,8.453,6.545,6.933,13.13,2.76,7.365,3.971,14.375,7.038,14.338,18.854,10.113,4.492,10.278,4.745,6.605,13.556,6.729,22.508,6.814,3.631,9.385,6.529,9.513,10.3,7.787
PT0149,10.157,15.543,7.644,7.286,9.362,12.56,6.913,10.932,15.616,6.174,8.64,7.151,6.677,3.454,5.858,14.185,4.304,3.912,12.505,5.847,7.373,7.437,10.743,36.185,9.779,5.782,6.576,4.059,9.844,9.682,6.282,6.961,4.354,5.792,8.815,19.846,7.278,5.413,2.948,10.416,5.152,18.005,6.12,6.278,10.299,5.697,4.434,16.511,8.348,14.465,6.305,10.633
PT0150,4.195,9.408,10.392,6.251,10.49,7.814,11.53,7.774,5.463,13.354,11.065,12.211,3.089,7.867,4.748,17.587,3.912,13.84,8.753,9.85,6.055,13.005,6.624,12.764,11.674,7.378,17.531,8.368,12.59,30.23,20.81,10.943,2.733,4.961,7.386,9.038,3.751,3.796,5.341,6.676,4.57,13.608,14.046,3.161,7.059,4.966,2.613,6.894,7.531,6.402,12.354,3.841
PT0151,10.815,13.414,6.897,5.451,5.408,10.865,13.306,13.299,13.251,5.571,10.064,11.102,7.52,8.579,13.873,2.719,11.33,6.339,8.812,5.784,10.168,9.033,7.441,3.684,5.919,10.658,5.004,10.692,10.217,9.784,8.789,17.322,12.594,5.685,13.365,10.32,10.574,13.361,5.877,12.511,5.129,6.353,3.344,6.822,9.633,6.761,6.464,6.797,8.619,4.536,11.489,8.664
PT0152,3.689,8.666,10.71,6.445,7.099,19.687,9.095,4.647,5.841,7.259,12.418,11.828,9.838,5.792,18.125,17.452,4.808,9.831,6.148,6.084,6.057,11.197,12.787,8.376,8.574,16.14,7.725,5.747,5.268,28.568,17.703,3.978,6.805,4.604,4.976,5.088,8.317,13.053,6.917,5.635,4.628,8.377,11.735,6.755,5.959,16.161,8.506,11.744,6.237,3.634,8.683,17.303
PT0153,4.943,8.058,10.557,3.393,7.282,14.159,7.869,3.596,11.711,6.944,6.44,7.897,18.609,7.68,8.654,3.04,4.004,6.771,3.71,17.99,8.558,6.713,18.41,9.059,6.006,9.184,5.358,5.939,3.925,4.617,16.069,12.654,5.661,4.205,8.755,8.0,3.467,4.62,5.476,3.949,9.19,9.842,11.006,7.396,11.659,5.858,20.305,3.616,9.666,7.947,4.152,9.042
PT0154,3.772,8.656,3.515,14.903,5.143,6.289,8.345,7.431,6.411,5.51,19.889,3.87,7.738,12.233,5.316,14.97,5.755,4.193,4.147,9.135,14.219,3.657,7.856,2.925,3.06,11.324,11.697,7.176,3.312,4.147,5.06,20.556,7.11,7.446,6.293,15.321,19.766,1.976,4.477,13.313,5.656,13.938,4.381,6.462,5.345,20.129,8.651,3.921,8.425,3.989,7.062,6.356
PT0155,3.713,4.346,6.274,4.32,5.19,5.405,9.158,11.768,2.863,6.039,8.571,4.234,6.096,5.759,8.191,7.31,7.046,3.175,7.78,4.762,14.176,5.923,8.529,6.23,11.643,10.048,17.979,16.324,4.843,9.702,6.687,4.764,4.131,4.88,7.171,8.801,5.913,12.234,7.951,6.748,3.224,11.553,8.62,4.097,5.909,10.227,15.699,7.435,6.5,4.318,6.624,8.672
PT0156,5.117,12.384,9.243,5.385,7.979,6.772,13.837,3.213,4.535,7.563,17.318,3.244,6.53,6.772,7.07,8.774,3.24,23.45,7.02,13.077,3.623,7.537,4.861,9.564,7.178,17.481,10.168,14.555,5.223,7.117,8.906,9.901,9.838,16.696,6.307,3.674,9.85,5.422,9.185,5.549,5.612,4.183,8.417,14.84,6.132,13.229,4.282,18.55,10.796,8.387,8.599,11.964
PT0157,6.558,13.071,11.437,9.663,6.687,7.595,16.307,11.508,6.544,3.647,5.608,14.478,9.546,5.249,3.746,4.583,9.969,3.811,4.103,6.213,14.858,8.87,6.693,16.617,9.113,21.756,8.055,3.217,5.108,14.695,12.802,7.648,4.753,2.073,9.55,8.713,28.939,8.846,6.27,6.108,4.986,13.334,10.311,6.45,12.912,7.498,5.16,4.527,9.636,6.216,8.372,8.646
PT0158,11.341,7.247,14.589,3.432,6.072,9.409,5.925,11.303,7.48,6.024,6.545,11.722,10.472,8.73,10.791,11.753,10.566,6.416,4.238,5.028,6.007,7.264,9.38,16.278,6.697,5.386,7.505,5.686,9.486,11.467,15.109,8.865,11.642,9.311,4.096,7.519,5.229,3.796,5.902,16.697,2.996,4.097,6.006,12.768,7.82,3.935,8.715,7.558,6.178,6.733,6.703,12.421
PT0159,12.34,8.424,2.826,11.404,2.976,6.872,4.677,5.667,2.389,8.189,6.579,8.089,4.578,6.984,8.55,10.376,5.507,14.693,4.845,10.054,8.881,15.308,4.077,6.032,4.822,10.625,9.755,25.229,3.864,11.573,10.889,13.903,8.456,5.033,6.434,11.692,5.137,9.434,7.416,9.12,7.652,5.84,4.729,6.105,6.388,12.154,5.045,5.015,6.502,17.781,7.138,3.441
PT0160,8.619,9.434,7.044,11.495,17.768,11.834,5.02,7.964,4.039,8.292,12.977,5.515,7.744,4.726,13.186,5.579,11.017,8.497,7.175,3.782,8.052,3.887,6.023,6.14,5.829,8.704,5.796,6.164,3.392,5.181,8.742,3.322,7.19,16.396,8.877,17.295,9.339,12.632,5.435,6.081,7.594,3.466,4.452,4.719,3.378,4.333,10.99,10.314,10.412,8.92,7.035,8.558
PT0161,5.887,17.209,10.36,6.377,5.231,8.861,12.514,6.36,5.111,8.38,6.081,10.007,9.754,6.885,5.573,5.405,3.429,7.979,9.16,7.167,8.781,3.083,4.347,5.71,8.743,16.758,16.702,17.088,8.251,7.566,4.372,5.739,9.797,4.374,11.485,7.727,2.219,7.889,9.143,4.589,6.963,6.112,8.056,13.269,11.529,12.95,11.176,8.941,3.766,5.654,4.899,8.392
PT0162,10.819,9.358,13.313,4.446,6.985,9.148,8.454,7.616,6.642,22.328,9.106,6.917,2.578,18.177,7.202,11.304,5.626,2.742,11.486,9.654,5.691,6.756,8.143,8.087,3.973,2.139,17.688,9.274,18.303,11.753,12.489,3.702,6.56,9.148,12.756,9.708,12.861,10.994,5.473,4.953,14.841,10.606,5.467,12.683,5.938,11.658,6.695,7.566,8.579,7.351,6.645,9.006
PT0163,2.615,8.741,16.733,5.91,5.835,8.534,10.3,11.011,8.259,9.993,5.411,8.658,13.968,3.226,6.871,12.341,6.816,5.419,6.169,10.539,10.202,5.28,11.335,11.117,15.782,5.367,12.138,13.446,4.782,5.794,5.544,6.323,7.313,16.014,8.203,12.407,4.761,8.601,2.698,7.13,3.251,7.544,7.327,5.824,8.25,7.03,5.73,5.351,8.218,4.29,5.348,7.312
PT0164,4.05,7.482,4.589,3.088,10.208,10.979,9.663,4.861,4.886,6.781,5.929,6.788,6.324,3.776,3.197,10.817,7.65,3.827,14.872,5.759,12.597,7.505,8.71,4.275,22.666,3.076,11.035,6.09,7.124,7.757,12.107,18.967,13.555,9.422,13.191,4.874,15.282,11.941,17.882,3.602,9.751,12.507,2.243,7.724,6.284,4.898,6.331,6.011,3.991,7.904,7.44,6.981
PT0165,10.41,4.245,6.055,14.221,4.627,5.352,10.932,12.391,3.44,6.853,10.055,4.263,10.88,8.762,23.992,6.084,13.026,3.053,10.494,5.835,5.757,10.233,6.482,6.602,2.427,15.092,6.014,7.569,7.359,14.169,14.418,4.373,17.165,5.219,14.083,6.763,13.825,5.604,8.752,6.379,8.074,12.148,6.454,9.002,8.38,5.184,4.752,3.078,6.078,9.623,3.883,8.841
PT0166,10.044,6.396,4.327,7.581,8.791,16.709,8.774,11.369,8.606,7.255,8.006,16.093,6.879,3.773,2.684,7.375,6.278,8.752,15.188,7.106,7.587,28.192,4.576,5.369,11.629,8.608,18.29,9.471,12.929,7.563,3.599,5.849,9.793,6.517,7.037,3.27,4.202,5.521,11.304,6.451,4.288,6.63,3.069,3.568,8.075,10.139,16.294,4.19,15.475,15.118,18.678,4.052
PT0167,11.785,8.406,10.898,5.221,7.132,9.941,5.973,11.585,6.251,8.946,4.221,4.607,6.226,19.299,4.211,11.778,4.487,11.0,4.825,13.146,11.412,3.863,3.428,4.89,5.985,10.487,3.697,7.206,11.571,8.703,20.248,5.455,14.95,7.869,19.896,8.592,3.803,2.751,6.551,4.1,13.568,5.633,7.96,5.533,3.139,4.831,7.34,9.429,10.692,9.16,12.86,5.633
PT0168,6.483,8.188,3.786,4.815,12.812,10.665,6.609,2.688,11.56,6.301,10.797,7.304,6.78,3.587,6.134,11.198,8.214,5.033,9.805,3.158,12.981,4.355,7.473,5.577,10.002,9.213,5.135,7.068,6.058,14.229,6.73,9.066,3.387,14.785,16.017,10.875,14.033,5.867,6.698,6.167,3.879,14.127,14.278,2.574,3.016,1.738,15.595,1.935,4.83,7.917,8.796,6.541
PT0169,5.88,8.341,13.055,9.687,5.571,11.211,8.031,2.839,5.669,14.941,4.694,16.785,8.131,3.928,3.451,12.955,7.976,5.337,12.559,10.916,9.013,7.188,15.304,18.159,8.127,8.623,21.217,14.6,11.894,9.69,12.7,6.311,7.975,7.661,6.483,9.044,3.977,6.295,7.495,4.779,7.714,10.45,8.695,11.444,6.346,3.647,4.515,15.283,6.747,8.763,5.744,8.772
PT0170,5.595,10.962,11.555,15.024,5.463,13.133,9.23,10.386,10.228,4.282,18.916,2.977,10.876,5.782,8.882,7.909,9.213,9.049,3.121,8.529,8.731,3.571,6.522,17.392,6.774,9.214,6.007,6.708,7.805,3.718,11.877,4.996,7.384,9.717,7.047,9.506,7.525,4.124,7.72,7.868,9.536,12.273,6.408,2.718,3.087,12.322,18.898,4.439,6.344,8.354,9.634,7.221
PT0171,9.605,10.947,9.257,4.049,7.725,12.348,7.952,5.426,4.718,9.821,8.543,10.453,6.173,12.598,5.827,5.179,6.266,11.272,11.587,14.159,9.702,5.083,7.178,15.139,11.537,6.039,4.925,13.874,11.241,8.225,18.76,5.029,5.893,4.123,5.926,5.168,9.432,12.174,6.757,16.486,5.938,13.653,11.55,6.435,9.99,9.141,5.826,9.064,5.515,6.089,6.275,5.212
PT0172,4.917,9.602,2.492,5.633,21.141,9.667,8.296,5.146,8.458,9.234,23.766,7.644,4.023,11.003,7.535,8.513,8.043,4.378,9.041,4.349,6.477,13.923,5.994,3.129,7.771,2.632,3.245,5.423,18.492,7.848,13.405,6.83,9.728,7.366,7.06,4.973,11.561,6.391,4.718,18.759,5.01,6.379,2.671,3.658,7.284,4.688,6.859,15.787,5.315,2.833,12.545,11.452
PT0173,5.079,11.765,5.209,3.22,4.463,7.83,17.951,4.956,7.733,4.205,12.512,6.88,4.968,9.823,8.133,9.239,5.575,12.992,11.563,12.787,9.016,7.178,4.326,8.44,15.368,8.823,12.384,6.233,2.556,9.187,16.793,3.994,19.447,13.275,8.909,14.473,7.617,32.666,9.8,4.494,11.18,5.257,5.682,6.755,12.481,6.038,9.836,1.807,7.194,5.752,7.862,8.463
PT0174,4.984,8.441,10.534,10.168,9.143,4.824,5.938,3.696,9.268,9.802,9.308,10.677,4.325,8.599,7.543,5.644,9.75,11.594,8.04,4.906,6.672,7.292,12.324,24.238,8.714,7.24,13.381,10.371,3.734,24.411,11.296,2.203,9.664,6.204,8.566,10.584,4.949,9.877,7.456,7.038,12.724,8.156,12.455,6.272,10.232,6.227,12.617,3.427,6.267,9.21,7.289,7.806
PT0175,5.566,8.278,3.615,7.956,6.16,9.247,8.456,6.317,4.617,9.468,5.925,6.461,10.306,14.038,7.63,9.22,5.33,7.35,12.912,8.535,6.454,12.751,10.396,8.921,3.667,5.592,8.226,9.336,3.86,13.747,5.013,13.308,13.082,5.609,6.14,6.323,11.384,4.865,19.25,9.997,5.479,5.73,5.74,5.497,9.802,24.376,15.233,4.687,16.31,10.022,2.706,9.281
PT0176,13.828,9.892,6.465,21.489,9.242,7.385,6.409,5.063,6.95,5.35,7.053,4.054,4.365,3.059,6.779,4.844,5.441,4.261,6.022,6.146,2.404,3.183,3.664,5.053,6.859,5.478,3.297,11.68,4.076,8.348,6.772,7.899,14.906,5.914,9.526,10.271,9.457,7.296,4.851,6.294,13.699,5.302,2.91,9.048,5.168,4.042,7.752,7.231,18.429,8.086,4.969,8.021
PT0177,9.078,4.244,6.912,6.973,11.333,7.863,6.611,5.237,4.82,21.912,10.549,18.841,15.077,8.514,8.932,8.378,13.123,9.677,5.74,2.309,3.157,7.849,4.099,9.771,7.448,14.561,7.102,7.415,7.931,5.566,10.489,5.474,14.524,12.671,13.615,5.166,13.021,10.576,6.017,3.534,8.381,4.728,4.451,5.975,8.243,4.575,4.443,12.665,8.436,6.73,8.477,13.57
PT0178,4.033,15.137,11.293,6.014,9.089,26.727,5.056,9.318,6.815,10.19,4.851,6.411,7.527,14.955,10.722,5.443,5.077,10.279,10.487,7.203,9.162,7.217,14.077,6.351,5.621,5.113,5.023,7.175,7.994,11.87,11.962,6.82,7.792,9.21,11.711,4.606,4.394,12.573,7.061,5.236,3.926,6.921,9.459,10.84,11.209,7.279,15.829,18.731,6.918,5.611,4.075,6.884
PT0179,4.201,4.654,8.367,5.284,9.546,4.872,8.455,4.008,10.109,6.204,13.922,11.486,6.749,4.415,6.453,21.242,7.398,17.33,10.508,8.922,11.003,8.435,4.869,5.907,4.082,4.349,11.642,5.775,17.776,8.533,8.007,10.687,5.555,8.709,10.382,9.03,16.428,15.547,2.767,4.632,10.617,6.28,9.646,8.133,11.829,8.996,6.783,5.858,3.816,6.252,6.685,4.538
PT0180,7.637,12.856,8.333,11.061,9.41,8.797,4.953,12.936,33.221,5.779,4.249,14.576,13.553,8.697,5.893,13.37,9.767,5.469,3.847,11.152,9.509,4.529,7.252,8.233,19.468,10.466,15.404,3.366,15.157,14.967,5.198,4.8,13.295,4.973,6.344,7.247,9.735,5.843,4.71,4.254,6.744,9.132,8.04,4.074,8.154,5.756,4.097,14.584,5.517,3.844,11.489,9.038
PT0181,9.515,7.613,5.855,3.42,5.616,14.052,11.654,2.362,7.522,5.092,6.589,8.522,5.873,13.519,6.026,8.4,6.314,15.92,13.259,5.494,8.027,5.98,4.534,9.203,7.189,15.773,9.262,5.942,8.679,9.112,3.973,7.505,11.628,2.974,6.442,8.811,6.347,12.094,2.68,8.115,5.715,9.865,11.834,6.026,6.734,11.221,3.843,6.539,5.536,20.467,15.42,9.563
PT0182,4.018,13.948,7.296,10.538,8.509,13.672,5.884,26.118,10.593,8.21,3.296,9.261,6.089,13.702,8.453,3.818,11.529,6.174,13.089,4.259,6.573,7.03,8.643,6.635,7.334,3.852,9.196,12.079,7.053,12.821,7.769,5.652,6.017,12.06,17.062,25.019,10.188,7.17,5.228,7.238,8.698,13.671,7.88,7.237,5.065,7.514,5.938,6.099,8.381,6.297,5.724,11.049
PT0183,6.639,8.488,6.809,8.304,3.613,15.775,8.492,3.661,7.824,7.474,11.63,10.516,10.424,6.962,6.123,3.983,5.548,9.496,12.185,10.365,10.064,10.608,5.095,7.166,3.36,4.497,16.049,7.039,10.453,5.19,33.432,13.71,16.864,5.743,7.658,9.366,7.114,11.81,7.788,4.819,8.607,8.606,8.366,10.545,6.066,5.42,2.385,11.784,17.95,7.91,1.602,9.906
PT0184,2.461,5.128,10.425,5.817,7.739,5.006,12.116,9.825,13.083,3.704,13.326,16.137,10.221,18.462,6.084,10.447,12.206,6.944,5.192,6.255,6.259,5.173,5.557,4.319,9.793,4.359,17.336,8.035,9.28,7.102,7.002,2.176,5.004,10.879,5.144,8.279,2.913,6.907,7.723,16.422,4.842,8.25,12.28,13.022,5.606,5.397,6.284,4.679,6.213,9.22,7.49,7.041
PT0185,3.843,12.947,6.659,4.82,5.148,4.746,7.121,11.618,9.328,4.422,8.551,9.428,4.289,9.522,3.556,6.83,3.43,7.644,13.644,12.173,7.601,9.997,4.358,7.074,7.041,9.065,4.128,13.387,5.95,7.966,5.825,3.652,4.113,9.221,11.716,21.378,5.334,7.189,12.249,6.6,5.423,9.384,3.011,6.389,12.406,6.723,5.561,3.764,15.604,4.612,9.957,15.802
PT0186,9.824,10.131,12.122,12.173,7.594,12.196,9.722,7.291,12.508,5.163,8.713,15.192,24.142,12.55,18.363,8.594,3.794,15.051,9.506,14.573,15.921,2.603,18.362,10.376,12.749,9.917,9.331,4.647,10.571,5.135,10.075,14.999,7.332,5.332,16.929,5.097,8.859,8.7,8.127,17.415,9.922,8.006,29.186,8.251,12.846,7.023,15.108,13.084,8.459,4.309,3.35,5.53
PT0187,12.729,8.743,3.145,17.838,11.34,7.348,11.572,10.665,8.841,5.99,6.237,8.237,9.387,4.411,4.055,3.348,7.63,5.252,11.598,6.639,3.849,9.106,25.66,7.586,17.091,15.32,4.165,8.635,5.849,9.432,10.729,4.059,3.934,4.131,3.561,7.063,8.584,5.321,12.04,6.268,10.468,8.875,9.054,7.006,6.538,8.98,10.799,8.449,9.0,5.236,13.855,5.355
PT0188,6.55,9.043,13.163,5.983,9.813,18.866,3.226,6.915,24.741,6.108,8.027,8.303,3.774,5.147,16.325,3.469,14.921,11.011,7.211,6.838,5.671,10.814,8.247,6.628,5.441,7.244,5.107,5.54,7.167,6.416,7.943,4.964,6.997,11.297,16.938,5.964,8.344,7.345,9.487,8.332,17.456,5.564,22.932,8.266,5.339,13.723,6.625,7.423,7.473,7.333,7.018,10.387
PT0189,6.823,13.269,6.689,9.494,9.809,9.094,6.11,2.983,14.788,5.281,13.354,9.988,6.479,5.135,10.712,7.802,16.324,6.435,6.003,5.264,6.749,4.731,10.213,3.493,5.235,6.562,13.177,12.643,6.957,6.454,2.734,3.996,7.333,2.486,4.611,7.271,5.035,8.922,2.396,6.139,7.052,7.87,8.222,4.286,10.503,6.592,2.251,8.254,2.231,10.588,16.418,5.3
PT0190,11.933,12.71,12.701,16.867,13.004,9.699,4.614,8.705,3.139,9.843,6.075,11.557,11.234,17.615,11.95,6.637,4.837,7.209,5.253,2.833,2.962,6.403,9.741,12.793,13.175,5.48,4.302,3.562,5.59,5.46,5.297,2.288,5.67,2.237,11.461,24.003,4.375,2.952,7.837,6.547,7.82,3.866,14.358,5.175,13.432,11.01,4.076,2.624,5.194,5.265,7.16,13.278
PT0191,8.187,9.665,7.581,5.508,3.322,10.877,15.046,13.072,8.599,11.394,9.502,11.307,7.894,2.385,8.295,3.781,7.275,5.168,5.494,7.395,4.239,7.38,7.439,4.026,12.664,13.252,6.89,6.135,5.445,7.4,5.435,7.024,7.817,15.483,7.779,2.855,5.943,5.661,3.369,4.467,4.852,12.59,9.864,10.543,9.855,11.142,5.717,9.809,6.699,5.573,8.079,4.819
PT0192,5.506,4.387,11.095,6.558,9.44,7.962,8.588,5.518,7.692,7.516,12.823,19.38,10.857,3.039,9.273,4.936,5.796,8.093,11.43,10.477,12.811,8.517,7.11,10.2,8.712,5.489,13.887,5.678,7.736,3.408,10.177,10.391,4.046,4.72,5.532,14.413,8.132,5.793,10.068,3.859,19.632,8.126,9.358,13.279,3.907,5.658,9.914,18.671,9.786,4.759,4.374,8.166
PT0193,11.255,6.478,15.215,4.145,8.66,8.652,9.727,3.081,2.439,2.553,6.66,13.243,23.098,10.984,8.424,10.906,2.573,2.763,5.086,12.277,9.788,13.311,6.244,6.032,10.669,4.875,9.403,6.18,7.05,12.13,5.44,8.619,2.458,7.789,4.676,3.891,7.003,12.181,13.766,4.534,8.211,9.342,7.97,8.159,3.238,2.497,3.034,7.291,4.867,8.212,10.645,8.109
PT0194,7.974,8.779,5.532,6.889,8.515,6.175,19.972,5.377,4.796,6.732,10.594,7.632,11.276,7.994,9.735,5.926,10.542,6.465,5.486,7.348,7.097,8.113,10.806,10.865,6.411,6.621,3.319,5.549,4.075,9.495,6.628,3.958,11.314,12.08,4.517,3.402,8.792,7.899,14.412,10.549,9.163,3.703,6.878,6.221,15.938,7.68,6.059,9.91,6.302,8.012,8.499,5.89
PT0195,14.849,20.067,7.567,7.109,3.589,7.961,6.289,8.619,5.868,9.47,8.288,21.725,19.327,1.757,10.964,9.82,6.137,12.05,8.674,17.861,14.445,6.617,4.128,12.263,7.388,7.336,7.134,18.162,17.018,10.294,4.28,5.64,11.94,20.093,4.037,7.02,5.232,7.29,8.633,11.104,13.936,4.561,15.804,9.014,11.321,8.457,3.444,8.22,4.346,10.974,5.249,3.102
PT0196,10.768,10.084,6.687,6.059,10.01,6.379,9.834,8.518,5.113,6.98,7.679,8.702,9.958,6.135,15.221,16.832,14.481,11.086,6.509,5.789,4.675,6.714,4.975,6.179,7.468,9.118,6.701,6.548,17.333,14.486,5.646,16.861,11.533,4.303,6.22,7.231,5.484,5.091,7.356,11.248,10.53,5.418,11.58,5.138,5.698,14.061,14.386,13.668,6.611,13.587,10.078,8.49
PT0197,7.489,8.482,8.061,5.204,13.927,9.193,9.295,12.818,7.897,8.256,24.124,10.057,5.083,6.41,4.566,8.719,8.465,3.314,2.736,7.342,19.46,8.443,10.398,1.564,2.631,5.396,4.798,6.779,16.84,8.877,22.469,6.702,6.17,6.5,12.318,6.497,5.418,9.152,3.665,3.817,4.95,2.688,17.413,16.61,7.047,2.598,5.729,10.146,5.211,9.398,5.887,8.468
PT0198,9.076,14.595,3.268,3.487,13.186,4.14,6.581,9.702,3.001,7.615,6.051,12.031,15.1,13.423,9.287,7.855,5.684,4.238,5.379,5.737,7.349,10.824,3.79,2.579,10.733,18.151,20.684,3.611,13.357,6.65,11.283,4.612,9.458,11.151,6.586,4.324,6.37,6.316,10.579,15.315,6.201,12.14,3.662,3.619,6.839,10.085,4.369,2.426,11.004,6.532,16.704,7.373
PT0199,7.014,7.176,6.683,3.904,7.118,3.652,14.325,9.456,10.771,3.567,17.037,6.275,5.001,2.929,15.945,5.469,5.253,5.997,6.205,6.023,5.641,8.376,16.095,4.425,10.954,19.793,7.738,3.818,7.131,15.046,9.227,11.52,6.404,7.065,19.457,10.629,5.427,11.957,8.169,9.132,13.017,9.943,2.993,8.086,7.374,6.711,7.615,11.078,4.961,5.671,9.799,5.848
PT0200,3.659,8.641,6.43,4.648,11.213,10.865,12.723,2.637,10.924,2.178,14.742,4.311,11.457,5.748,14.355,13.542,6.728,18.398,16.136,6.512,12.949,5.652,6.51,4.545,4.762,4.189,7.724,5.037,4.69,6.372,4.891,6.347,13.585,4.784,6.616,3.956,7.15,6.407,6.352,4.524,8.612,7.415,9.729,12.825,4.448,8.978,4.906,12.146,4.674,8.418,7.416,3.952
PT0201,4.434,9.325,4.931,10.017,12.799,9.884,14.105,22.706,8.837,9.742,4.921,7.897,9.851,12.509,4.501,3.576,9.23,5.956,10.212,5.357,9.811,6.269,8.118,8.396,5.726,7.997,12.555,4.032,4.527,8.354,4.047,2.87,4.218,11.366,5.301,10.403,5.825,7.19,3.771,6.421,5.674,12.453,17.166,5.957,11.185,13.375,5.562,2.736,7.125,6.737,6.76,5.366
PT0202,11.776,4.35,6.605,5.803,19.03,5.751,9.618,7.491,6.271,5.658,10.386,6.345,4.656,10.795,8.552,4.252,5.801,7.313,4.557,6.086,8.37,5.024,14.017,19.705,8.658,4.444,8.175,9.339,3.173,2.611,12.446,4.785,8.716,3.043,7.444,31.663,14.524,9.938,3.669,6.926,6.5,2.977,4.284,4.527,5.153,8.843,7.364,6.544,13.08,8.932,18.509,3.08
PT0203,3.259,13.095,3.394,4.931,15.016,7.603,8.17,11.335,7.42,8.83,14.059,4.823,5.003,4.757,8.421,7.299,29.322,6.513,4.336,8.497,7.15,4.831,7.257,10.141,10.64,6.444,3.921,5.478,6.357,5.866,7.418,11.676,6.008,11.574,16.897,3.923,5.129,9.264,5.696,8.185,12.515,4.373,4.456,5.496,4.117,10.097,5.331,11.646,7.562,11.231,7.802,17.124
PT0204,13.791,10.497,14.507,10.091,8.931,5.558,6.293,6.125,5.86,6.274,11.058,10.487,6.52,6.476,8.299,3.525,8.177,8.529,5.928,7.832,3.108,5.826,7.904,6.767,7.53,3.961,7.569,5.843,3.193,7.6,10.047,6.769,10.724,6.931,5.191,8.699,4.563,3.382,10.98,2.667,3.982,12.439,4.815,7.941,12.753,8.738,5.261,15.122,7.24,5.361,9.443,6.27
PT0205,8.345,7.347,9.068,9.653,9.088,22.606,7.388,6.763,13.165,6.686,6.621,6.704,8.708,3.628,2.499,12.028,4.221,4.7,8.251,4.525,2.722,5.583,5.6,14.349,5.978,6.43,9.329,6.801,7.869,10.652,8.663,7.01,7.832,7.08,7.438,8.092,9.132,8.127,7.177,3.423,6.753,10.537,7.028,12.387,7.475,4.177,16.019,5.4,10.208,9.902,4.446,13.459
PT0206,8.988,5.416,18.441,5.164,8.365,4.408,3.263,7.532,9.546,13.896,8.451,7.136,13.886,14.473,11.174,5.388,7.681,8.344,5.067,9.459,7.566,10.745,9.498,6.59,9.187,8.528,8.196,4.673,8.505,9.979,7.946,10.157,3.14,5.023,12.289,3.501,17.077,7.159,4.684,9.999,12.859,6.907,12.753,7.068,13.016,8.621,7.291,26.894,7.672,7.762,10.893,6.955
PT0207,9.475,9.359,4.721,5.487,9.195,19.174,11.035,16.299,20.163,4.103,6.029,3.071,7.414,6.044,3.405,9.597,12.962,9.283,9.128,5.043,12.143,4.133,10.345,11.193,7.946,8.101,12.791,3.937,5.715,12.43,2.159,4.975,6.452,6.26,5.832,7.668,6.808,2.904,10.776,9.548,12.327,9.09,7.184,9.01,8.373,6.122,5.237,9.561,10.937,3.527,7.828,15.454
PT0208,9.185,15.292,4.085,10.114,5.846,5.109,11.417,15.822,6.156,7.213,4.511,6.806,18.492,13.841,21.136,6.309,9.117,12.264,3.742,9.234,5.117,7.652,4.868,8.755,4.6,3.743,11.674,5.238,5.708,5.788,11.736,3.455,4.661,11.93,9.611,12.513,3.991,3.987,12.452,4.549,4.324,7.756,8.704,10.37,11.471,8.904,15.621,7.869,10.955,11.431,5.104,5.563
PT0209,13.268,6.445,8.357,8.789,12.255,10.303,9.405,10.015,15.352,4.312,8.426,17.652,11.078,11.0,10.13,6.492,6.272,4.769,8.67,7.697,7.903,4.172,10.169,2.734,6.39,2.669,9.794,8.042,7.215,5.778,18.005,7.287,9.474,8.021,6.86,12.277,10.847,11.809,8.206,7.035,6.885,5.827,3.38,8.354,16.377,3.059,9.232,9.49,7.67,7.11,4.565,5.243
PT0210,7.621,5.221,3.189,4.966,7.248,7.778,5.857,20.1,5.544,7.498,8.167,13.917,5.2,4.843,7.051,7.415,5.327,11.452,13.16,2.987,3.498,10.876,11.829,11.84,6.242,2.887,7.003,6.906,9.84,8.495,7.758,5.347,11.548,12.371,6.751,10.8,4.322,8.729,6.454,11.548,8.747,5.625,2.922,9.715,8.29,10.713,14.195,9.906,3.351,5.306,12.571,5.047
PT0211,8.045,10.031,8.127,8.284,6.26,6.917,7.684,5.98,6.799,9.087,16.209,14.939,5.264,6.945,10.03,2.759,5.006,18.91,2.04,4.547,3.618,8.566,9.303,17.673,10.349,13.839,7.754,4.816,6.304,5.127,6.856,7.312,4.182,9.454,6.987,5.701,7.14,5.811,8.323,7.495,8.309,4.509,8.649,9.319,12.23,8.412,5.339,11.56,8.752,10.099,7.474,7.766
